=== 2026-01-21T08:46:16 doc_id=489 page=7 phase=pass1 steps=822 min_openxml_idx=429 pdf_units=195 openxml_units=969 ===
[0] Block0 Char="μ" PDF[0] -> U0(pdf_0) OX[4142] -> U415(93770) | SKIP cross_page_backward: openxml_idx=415 < min_from_prev_page=429
[164] Block28 Char="0" PDF[168] -> U37(pdf_37) OX[4840] -> U435(93790) | MATCH continue_existing_assignment cnt:8
[165] Block28 Char="." PDF[169] -> U37(pdf_37) OX[4841] -> U435(93790) | MATCH continue_existing_assignment cnt:9
[166] Block28 Char="6" PDF[170] -> U37(pdf_37) OX[4842] -> U435(93790) | MATCH continue_existing_assignment cnt:10
[167] Block28 Char="2" PDF[171] -> U37(pdf_37) OX[4843] -> U435(93790) | MATCH continue_existing_assignment cnt:11
[168] Block29 Char="0" PDF[172] -> U38(pdf_38) OX[4845] -> U435(93790) | MATCH new_assignment cnt:1
[169] Block29 Char="." PDF[173] -> U38(pdf_38) OX[4846] -> U435(93790) | MATCH continue_existing_assignment cnt:2
[170] Block29 Char="2" PDF[174] -> U38(pdf_38) OX[4847] -> U435(93790) | MATCH continue_existing_assignment cnt:3
[171] Block29 Char="0" PDF[175] -> U38(pdf_38) OX[4848] -> U435(93790) | MATCH continue_existing_assignment cnt:4
[172] Block29 Char=")" PDF[176] -> U39(pdf_39) OX[4849] -> U435(93790) | MATCH new_assignment cnt:1
[173] Block30 Char="=" PDF[177] -> U40(pdf_40) OX[4853] -> U435(93790) | MATCH new_assignment cnt:1
[174] Block30 Char="0" PDF[178] -> U41(pdf_41) OX[4854] -> U435(93790) | MATCH new_assignment cnt:1
[175] Block30 Char="." PDF[179] -> U41(pdf_41) OX[4855] -> U435(93790) | MATCH continue_existing_assignment cnt:2
[176] Block30 Char="2" PDF[180] -> U41(pdf_41) OX[4856] -> U435(93790) | MATCH continue_existing_assignment cnt:3
[177] Block30 Char="1" PDF[181] -> U41(pdf_41) OX[4857] -> U435(93790) | MATCH continue_existing_assignment cnt:4
[178] Block30 Char="μ" PDF[182] -> U42(pdf_42) OX[4858] -> U436(93791) | MATCH new_assignment cnt:1
