=== 2026-01-21T08:46:16 doc_id=489 page=7 phase=pass1 steps=822 min_openxml_idx=429 pdf_units=195 openxml_units=969 ===
[0] Block0 Char="μ" PDF[0] -> U0(pdf_0) OX[4142] -> U415(93770) | SKIP cross_page_backward: openxml_idx=415 < min_from_prev_page=429
[644] Block63 Char="1" PDF[654] -> U154(pdf_154) OX[5368] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:4
[645] Block63 Char="(" PDF[655] -> U154(pdf_154) OX[5369] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:5
[646] Block63 Char="1" PDF[656] -> U154(pdf_154) OX[5370] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:6
[647] Block63 Char="." PDF[657] -> U154(pdf_154) OX[5371] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:7
[648] Block63 Char="2" PDF[658] -> U154(pdf_154) OX[5372] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:8
[649] Block63 Char="8" PDF[659] -> U154(pdf_154) OX[5373] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:9
[650] Block63 Char=")" PDF[660] -> U154(pdf_154) OX[5374] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:10
[651] Block63 Char="∩" PDF[661] -> U155(pdf_155) OX[5375] -> U449(93802_r0_c1) | MATCH new_assignment cnt:1
[652] Block63 Char="μ" PDF[662] -> U156(pdf_156) OX[5376] -> U449(93802_r0_c1) | MATCH new_assignment cnt:1
[653] Block63 Char="d" PDF[663] -> U156(pdf_156) OX[5377] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:2
[654] Block63 Char="e" PDF[664] -> U156(pdf_156) OX[5378] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:3
[655] Block63 Char="r" PDF[665] -> U156(pdf_156) OX[5379] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:4
[656] Block63 Char="1" PDF[666] -> U156(pdf_156) OX[5380] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:5
[657] Block63 Char="(" PDF[667] -> U156(pdf_156) OX[5381] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:6
[658] Block63 Char="1" PDF[668] -> U156(pdf_156) OX[5382] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:7
[659] Block63 Char="3" PDF[669] -> U156(pdf_156) OX[5383] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:8
[660] Block63 Char="." PDF[670] -> U156(pdf_156) OX[5384] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:9
[661] Block63 Char="9" PDF[671] -> U156(pdf_156) OX[5385] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:10
[662] Block63 Char="8" PDF[672] -> U156(pdf_156) OX[5386] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:11
[663] Block63 Char=")" PDF[673] -> U156(pdf_156) OX[5387] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:12
[664] Block63 Char="∩" PDF[674] -> U157(pdf_157) OX[5388] -> U449(93802_r0_c1) | MATCH new_assignment cnt:1
[665] Block63 Char="μ" PDF[675] -> U158(pdf_158) OX[5389] -> U449(93802_r0_c1) | MATCH new_assignment cnt:1
[666] Block63 Char="r" PDF[676] -> U158(pdf_158) OX[5390] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:2
[667] Block63 Char="o" PDF[677] -> U158(pdf_158) OX[5391] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:3
[668] Block63 Char="a" PDF[678] -> U158(pdf_158) OX[5392] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:4
[669] Block63 Char="1" PDF[679] -> U158(pdf_158) OX[5393] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:5
[670] Block63 Char="(" PDF[680] -> U158(pdf_158) OX[5394] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:6
[671] Block63 Char="0" PDF[681] -> U158(pdf_158) OX[5395] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:7
[672] Block63 Char="." PDF[682] -> U158(pdf_158) OX[5396] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:8
[673] Block63 Char="0" PDF[683] -> U158(pdf_158) OX[5397] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:9
[674] Block63 Char="9" PDF[684] -> U158(pdf_158) OX[5398] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:10
[675] Block63 Char=")" PDF[685] -> U158(pdf_158) OX[5399] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:11
[676] Block63 Char="∩" PDF[686] -> U159(pdf_159) OX[5400] -> U449(93802_r0_c1) | MATCH new_assignment cnt:1
[677] Block63 Char="μ" PDF[687] -> U160(pdf_160) OX[5401] -> U449(93802_r0_c1) | MATCH new_assignment cnt:1
[678] Block63 Char="r" PDF[688] -> U160(pdf_160) OX[5402] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:2
[679] Block63 Char="o" PDF[689] -> U160(pdf_160) OX[5403] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:3
[680] Block63 Char="e" PDF[690] -> U160(pdf_160) OX[5404] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:4
[681] Block63 Char="2" PDF[691] -> U160(pdf_160) OX[5405] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:5
[682] Block63 Char="(" PDF[692] -> U160(pdf_160) OX[5406] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:6
[683] Block63 Char="1" PDF[693] -> U160(pdf_160) OX[5407] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:7
[684] Block63 Char="." PDF[694] -> U160(pdf_160) OX[5408] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:8
[685] Block63 Char="3" PDF[695] -> U160(pdf_160) OX[5409] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:9
[686] Block63 Char="8" PDF[696] -> U160(pdf_160) OX[5410] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:10
[687] Block63 Char=")" PDF[697] -> U160(pdf_160) OX[5411] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:11
[688] Block63 Char=";" PDF[698] -> U160(pdf_160) OX[5412] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:12
[689] Block63 Char="μ" PDF[699] -> U161(pdf_161) OX[5413] -> U449(93802_r0_c1) | MATCH new_assignment cnt:1
[690] Block63 Char="g" PDF[700] -> U161(pdf_161) OX[5414] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:2
[691] Block63 Char="p" PDF[701] -> U161(pdf_161) OX[5415] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:3
[692] Block63 Char="m" PDF[702] -> U161(pdf_161) OX[5416] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:4
[693] Block63 Char="1" PDF[703] -> U161(pdf_161) OX[5417] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:5
[694] Block63 Char="(" PDF[704] -> U161(pdf_161) OX[5418] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:6
[695] Block63 Char="0" PDF[705] -> U161(pdf_161) OX[5419] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:7
[696] Block63 Char="." PDF[706] -> U161(pdf_161) OX[5420] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:8
[697] Block63 Char="1" PDF[707] -> U161(pdf_161) OX[5421] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:9
[698] Block63 Char="9" PDF[708] -> U161(pdf_161) OX[5422] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:10
[699] Block63 Char=")" PDF[709] -> U161(pdf_161) OX[5423] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:11
[700] Block63 Char="∩" PDF[710] -> U162(pdf_162) OX[5424] -> U449(93802_r0_c1) | MATCH new_assignment cnt:1
[701] Block63 Char="μ" PDF[711] -> U163(pdf_163) OX[5425] -> U449(93802_r0_c1) | MATCH new_assignment cnt:1
[702] Block63 Char="t" PDF[712] -> U163(pdf_163) OX[5426] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:2
[703] Block63 Char="a" PDF[713] -> U163(pdf_163) OX[5427] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:3
[704] Block63 Char="t" PDF[714] -> U163(pdf_163) OX[5428] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:4
[705] Block63 Char="2" PDF[715] -> U163(pdf_163) OX[5429] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:5
[706] Block63 Char="(" PDF[716] -> U163(pdf_163) OX[5430] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:6
[707] Block63 Char="1" PDF[717] -> U163(pdf_163) OX[5431] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:7
[708] Block63 Char="." PDF[718] -> U163(pdf_163) OX[5432] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:8
[709] Block63 Char="4" PDF[719] -> U163(pdf_163) OX[5433] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:9
[710] Block63 Char="7" PDF[720] -> U163(pdf_163) OX[5434] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:10
[711] Block63 Char=")" PDF[721] -> U163(pdf_163) OX[5435] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:11
[712] Block63 Char="=" PDF[722] -> U164(pdf_164) OX[5436] -> U449(93802_r0_c1) | MATCH new_assignment cnt:1
[713] Block63 Char="m" PDF[723] -> U165(pdf_165) OX[5437] -> U449(93802_r0_c1) | MATCH new_assignment cnt:1
[714] Block63 Char="i" PDF[724] -> U165(pdf_165) OX[5438] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:2
[715] Block63 Char="n" PDF[725] -> U165(pdf_165) OX[5439] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:3
[716] Block63 Char="(" PDF[726] -> U166(pdf_166) OX[5440] -> U449(93802_r0_c1) | MATCH new_assignment cnt:1
[717] Block63 Char="1" PDF[727] -> U166(pdf_166) OX[5441] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:2
[718] Block63 Char=";" PDF[728] -> U166(pdf_166) OX[5442] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:3
[719] Block63 Char="0" PDF[729] -> U166(pdf_166) OX[5443] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:4
[720] Block63 Char="." PDF[730] -> U166(pdf_166) OX[5444] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:5
[721] Block63 Char="3" PDF[731] -> U166(pdf_166) OX[5445] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:6
[722] Block63 Char=";" PDF[732] -> U166(pdf_166) OX[5446] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:7
[723] Block63 Char="0" PDF[733] -> U166(pdf_166) OX[5447] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:8
[724] Block63 Char="." PDF[734] -> U166(pdf_166) OX[5448] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:9
[725] Block63 Char="9" PDF[735] -> U166(pdf_166) OX[5449] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:10
[726] Block63 Char="6" PDF[736] -> U166(pdf_166) OX[5450] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:11
[727] Block63 Char="," PDF[737] -> U166(pdf_166) OX[5451] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:12
[728] Block63 Char="0" PDF[738] -> U166(pdf_166) OX[5452] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:13
[729] Block63 Char="," PDF[739] -> U166(pdf_166) OX[5453] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:14
[730] Block63 Char="0" PDF[740] -> U166(pdf_166) OX[5454] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:15
[731] Block63 Char="." PDF[741] -> U166(pdf_166) OX[5455] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:16
[732] Block63 Char="7" PDF[742] -> U166(pdf_166) OX[5456] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:17
[733] Block63 Char="5" PDF[743] -> U166(pdf_166) OX[5457] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:18
[734] Block63 Char="," PDF[744] -> U166(pdf_166) OX[5458] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:19
[735] Block63 Char="0" PDF[745] -> U166(pdf_166) OX[5459] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:20
[736] Block63 Char="." PDF[746] -> U166(pdf_166) OX[5460] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:21
[737] Block63 Char="8" PDF[747] -> U166(pdf_166) OX[5461] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:22
[738] Block63 Char="4" PDF[748] -> U166(pdf_166) OX[5462] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:23
[739] Block63 Char=")" PDF[749] -> U166(pdf_166) OX[5463] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:24
[740] Block63 Char="=" PDF[750] -> U167(pdf_167) OX[5464] -> U449(93802_r0_c1) | MATCH new_assignment cnt:1
[741] Block63 Char="0" PDF[751] -> U168(pdf_168) OX[5465] -> U449(93802_r0_c1) | MATCH new_assignment cnt:1
[742] Block64 Char="=" PDF[754] -> U170(pdf_170) OX[5466] -> U449(93802_r0_c1) | MATCH new_assignment cnt:1
[743] Block64 Char="-" PDF[755] -> U171(pdf_171) OX[5467] -> U449(93802_r0_c1) | MATCH new_assignment cnt:1
[744] Block64 Char="0" PDF[756] -> U171(pdf_171) OX[5468] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:2
[745] Block64 Char="," PDF[757] -> U171(pdf_171) OX[5469] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:3
[746] Block64 Char="5" PDF[758] -> U171(pdf_171) OX[5470] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:4
[747] Block64 Char="4" PDF[759] -> U171(pdf_171) OX[5471] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:5
[748] Block64 Char="[" PDF[760] -> U172(pdf_172) OX[5472] -> U450(93803) | MATCH new_assignment cnt:1
[749] Block64 Char="r" PDF[761] -> U172(pdf_172) OX[5473] -> U450(93803) | MATCH continue_existing_assignment cnt:2
[750] Block64 Char="3" PDF[762] -> U172(pdf_172) OX[5474] -> U450(93803) | MATCH continue_existing_assignment cnt:3
[751] Block64 Char="]" PDF[763] -> U172(pdf_172) OX[5475] -> U450(93803) | MATCH continue_existing_assignment cnt:4
[752] Block64 Char="i" PDF[764] -> U173(pdf_173) OX[5476] -> U450(93803) | MATCH new_assignment cnt:1
[753] Block64 Char="f" PDF[765] -> U173(pdf_173) OX[5477] -> U450(93803) | MATCH continue_existing_assignment cnt:2
[754] Block64 Char="c" PDF[766] -> U174(pdf_174) OX[5478] -> U450(93803) | MATCH new_assignment cnt:1
[755] Block64 Char="r" PDF[767] -> U174(pdf_174) OX[5479] -> U450(93803) | MATCH continue_existing_assignment cnt:2
[756] Block64 Char="i" PDF[768] -> U175(pdf_175) OX[5480] -> U450(93803) | MATCH new_assignment cnt:1
[757] Block64 Char="s" PDF[769] -> U175(pdf_175) OX[5481] -> U450(93803) | MATCH continue_existing_assignment cnt:2
[758] Block64 Char="l" PDF[770] -> U176(pdf_176) OX[5482] -> U450(93803) | MATCH new_assignment cnt:1
[759] Block64 Char="o" PDF[771] -> U176(pdf_176) OX[5483] -> U450(93803) | MATCH continue_existing_assignment cnt:2
[760] Block64 Char="a" PDF[772] -> U177(pdf_177) OX[5484] -> U450(93803) | MATCH new_assignment cnt:1
[761] Block64 Char="n" PDF[773] -> U177(pdf_177) OX[5485] -> U450(93803) | MATCH continue_existing_assignment cnt:2
[762] Block64 Char="d" PDF[774] -> U177(pdf_177) OX[5486] -> U450(93803) | MATCH continue_existing_assignment cnt:3
[763] Block64 Char="d" PDF[775] -> U178(pdf_178) OX[5487] -> U450(93803) | MATCH new_assignment cnt:1
[764] Block64 Char="e" PDF[776] -> U178(pdf_178) OX[5488] -> U450(93803) | MATCH continue_existing_assignment cnt:2
[765] Block64 Char="r" PDF[777] -> U178(pdf_178) OX[5489] -> U450(93803) | MATCH continue_existing_assignment cnt:3
[766] Block64 Char="i" PDF[778] -> U179(pdf_179) OX[5490] -> U450(93803) | MATCH new_assignment cnt:1
[767] Block64 Char="s" PDF[779] -> U179(pdf_179) OX[5491] -> U450(93803) | MATCH continue_existing_assignment cnt:2
[768] Block64 Char="l" PDF[780] -> U180(pdf_180) OX[5492] -> U450(93803) | MATCH new_assignment cnt:1
[769] Block64 Char="o" PDF[781] -> U180(pdf_180) OX[5493] -> U450(93803) | MATCH continue_existing_assignment cnt:2
[770] Block64 Char="a" PDF[782] -> U181(pdf_181) OX[5494] -> U450(93803) | MATCH new_assignment cnt:1
[771] Block64 Char="n" PDF[783] -> U181(pdf_181) OX[5495] -> U450(93803) | MATCH continue_existing_assignment cnt:2
[772] Block64 Char="d" PDF[784] -> U181(pdf_181) OX[5496] -> U450(93803) | MATCH continue_existing_assignment cnt:3
[773] Block64 Char="r" PDF[785] -> U182(pdf_182) OX[5497] -> U450(93803) | MATCH new_assignment cnt:1
[774] Block64 Char="o" PDF[786] -> U182(pdf_182) OX[5498] -> U450(93803) | MATCH continue_existing_assignment cnt:2
[775] Block64 Char="a" PDF[787] -> U182(pdf_182) OX[5499] -> U450(93803) | MATCH continue_existing_assignment cnt:3
[776] Block64 Char="i" PDF[788] -> U183(pdf_183) OX[5500] -> U450(93803) | MATCH new_assignment cnt:1
[777] Block64 Char="s" PDF[789] -> U183(pdf_183) OX[5501] -> U450(93803) | MATCH continue_existing_assignment cnt:2
[778] Block64 Char="l" PDF[790] -> U184(pdf_184) OX[5502] -> U450(93803) | MATCH new_assignment cnt:1
[779] Block64 Char="o" PDF[791] -> U184(pdf_184) OX[5503] -> U450(93803) | MATCH continue_existing_assignment cnt:2
[780] Block64 Char="a" PDF[792] -> U185(pdf_185) OX[5504] -> U450(93803) | MATCH new_assignment cnt:1
[781] Block64 Char="n" PDF[793] -> U185(pdf_185) OX[5505] -> U450(93803) | MATCH continue_existing_assignment cnt:2
[782] Block64 Char="d" PDF[794] -> U185(pdf_185) OX[5506] -> U450(93803) | MATCH continue_existing_assignment cnt:3
[783] Block64 Char="r" PDF[795] -> U186(pdf_186) OX[5507] -> U450(93803) | MATCH new_assignment cnt:1
[784] Block64 Char="o" PDF[796] -> U186(pdf_186) OX[5508] -> U450(93803) | MATCH continue_existing_assignment cnt:2
[785] Block64 Char="e" PDF[797] -> U186(pdf_186) OX[5509] -> U450(93803) | MATCH continue_existing_assignment cnt:3
[786] Block64 Char="i" PDF[798] -> U187(pdf_187) OX[5510] -> U450(93803) | MATCH new_assignment cnt:1
[787] Block64 Char="s" PDF[799] -> U187(pdf_187) OX[5511] -> U450(93803) | MATCH continue_existing_assignment cnt:2
[788] Block64 Char="l" PDF[800] -> U188(pdf_188) OX[5512] -> U450(93803) | MATCH new_assignment cnt:1
[789] Block64 Char="o" PDF[801] -> U188(pdf_188) OX[5513] -> U450(93803) | MATCH continue_existing_assignment cnt:2
[790] Block64 Char="a" PDF[802] -> U189(pdf_189) OX[5514] -> U450(93803) | MATCH new_assignment cnt:1
[791] Block64 Char="n" PDF[803] -> U189(pdf_189) OX[5515] -> U450(93803) | MATCH continue_existing_assignment cnt:2
[792] Block64 Char="d" PDF[804] -> U189(pdf_189) OX[5516] -> U450(93803) | MATCH continue_existing_assignment cnt:3
[793] Block64 Char="g" PDF[805] -> U190(pdf_190) OX[5517] -> U450(93803) | MATCH new_assignment cnt:1
[794] Block64 Char="p" PDF[806] -> U190(pdf_190) OX[5518] -> U450(93803) | MATCH continue_existing_assignment cnt:2
[795] Block64 Char="m" PDF[807] -> U190(pdf_190) OX[5519] -> U450(93803) | MATCH continue_existing_assignment cnt:3
[796] Block64 Char="i" PDF[808] -> U191(pdf_191) OX[5520] -> U450(93803) | MATCH new_assignment cnt:1
[797] Block64 Char="s" PDF[809] -> U191(pdf_191) OX[5521] -> U450(93803) | MATCH continue_existing_assignment cnt:2
[798] Block64 Char="l" PDF[810] -> U192(pdf_192) OX[5522] -> U450(93803) | MATCH new_assignment cnt:1
[799] Block64 Char="o" PDF[811] -> U192(pdf_192) OX[5523] -> U450(93803) | MATCH continue_existing_assignment cnt:2
[800] Block64 Char="a" PDF[812] -> U192(pdf_192) OX[5524] -> U450(93803) | MATCH continue_existing_assignment cnt:3
[801] Block64 Char="n" PDF[813] -> U192(pdf_192) OX[5525] -> U450(93803) | MATCH continue_existing_assignment cnt:4
[802] Block64 Char="d" PDF[814] -> U192(pdf_192) OX[5526] -> U450(93803) | MATCH continue_existing_assignment cnt:5
[803] Block64 Char="t" PDF[815] -> U192(pdf_192) OX[5527] -> U450(93803) | MATCH continue_existing_assignment cnt:6
[804] Block64 Char="a" PDF[816] -> U192(pdf_192) OX[5528] -> U450(93803) | MATCH continue_existing_assignment cnt:7
[805] Block64 Char="t" PDF[817] -> U192(pdf_192) OX[5529] -> U450(93803) | MATCH continue_existing_assignment cnt:8
[806] Block64 Char="i" PDF[818] -> U192(pdf_192) OX[5530] -> U450(93803) | MATCH continue_existing_assignment cnt:9
[807] Block64 Char="s" PDF[819] -> U192(pdf_192) OX[5531] -> U450(93803) | MATCH continue_existing_assignment cnt:10
[808] Block64 Char="h" PDF[820] -> U192(pdf_192) OX[5532] -> U450(93803) | MATCH continue_existing_assignment cnt:11
[809] Block64 Char="i" PDF[821] -> U192(pdf_192) OX[5533] -> U450(93803) | MATCH continue_existing_assignment cnt:12
[810] Block64 Char="t" PDF[822] -> U193(pdf_193) OX[5534] -> U450(93803) | MATCH new_assignment cnt:1
[811] Block64 Char="h" PDF[823] -> U193(pdf_193) OX[5535] -> U450(93803) | MATCH continue_existing_assignment cnt:2
[812] Block64 Char="e" PDF[824] -> U193(pdf_193) OX[5536] -> U450(93803) | MATCH continue_existing_assignment cnt:3
[813] Block64 Char="n" PDF[825] -> U193(pdf_193) OX[5537] -> U450(93803) | MATCH continue_existing_assignment cnt:4
[814] Block64 Char="p" PDF[826] -> U193(pdf_193) OX[5538] -> U450(93803) | MATCH continue_existing_assignment cnt:5
[815] Block64 Char="g" PDF[827] -> U193(pdf_193) OX[5539] -> U450(93803) | MATCH continue_existing_assignment cnt:6
[816] Block64 Char="=" PDF[828] -> U193(pdf_193) OX[5540] -> U450(93803) | MATCH continue_existing_assignment cnt:7
[817] Block64 Char="-" PDF[829] -> U194(pdf_194) OX[5541] -> U450(93803) | MATCH new_assignment cnt:1
[818] Block64 Char="0" PDF[830] -> U194(pdf_194) OX[5542] -> U450(93803) | MATCH continue_existing_assignment cnt:2
[819] Block64 Char="," PDF[831] -> U194(pdf_194) OX[5543] -> U450(93803) | MATCH continue_existing_assignment cnt:3
[820] Block64 Char="8" PDF[832] -> U194(pdf_194) OX[5544] -> U450(93803) | MATCH continue_existing_assignment cnt:4
[821] Block64 Char="3" PDF[833] -> U194(pdf_194) OX[5545] -> U450(93803) | MATCH continue_existing_assignment cnt:5

=== 2026-01-21T08:46:16 doc_id=489 page=7 phase=pass2 steps=4 min_openxml_idx=0 pdf_units=2 openxml_units=522 ===
[0] Block0 Char="z" PDF[0] -> U0(pdf_123) OX[469] -> U13(93811_r0_c0) | MATCH new_assignment cnt:1
[1] Block0 Char="1" PDF[1] -> U0(pdf_123) OX[470] -> U13(93811_r0_c0) | MATCH continue_existing_assignment cnt:2
[2] Block1 Char="z" PDF[2] -> U1(pdf_169) OX[882] -> U19(93815_r0_c0) | MATCH new_assignment cnt:1
[3] Block1 Char="2" PDF[3] -> U1(pdf_169) OX[883] -> U19(93815_r0_c0) | MATCH continue_existing_assignment cnt:2

