=== 2026-01-31T05:18:32 doc_id=552 page=5 phase=pass1 steps=1404 min_openxml_idx=50 pdf_units=175 openxml_units=62 ===
[0] Block0 Char="1" PDF[0] -> U0(pdf_1) OX[387] -> U6(108240) | SKIP cross_page_backward: openxml_idx=6 < min_from_prev_page=50
[117] Block2 Char="m" PDF[119] -> U19(pdf_20) OX[6063] -> U52(108286) | MATCH continue_existing_assignment cnt:3
[118] Block2 Char="p" PDF[120] -> U19(pdf_20) OX[6064] -> U52(108286) | MATCH continue_existing_assignment cnt:4
[119] Block2 Char="e" PDF[121] -> U19(pdf_20) OX[6065] -> U52(108286) | MATCH continue_existing_assignment cnt:5
[120] Block2 Char="r" PDF[122] -> U19(pdf_20) OX[6066] -> U52(108286) | MATCH continue_existing_assignment cnt:6
[121] Block2 Char="j" PDF[123] -> U19(pdf_20) OX[6067] -> U52(108286) | MATCH continue_existing_assignment cnt:7
[122] Block2 Char="e" PDF[124] -> U19(pdf_20) OX[6068] -> U52(108286) | MATCH continue_existing_assignment cnt:8
[123] Block2 Char="l" PDF[125] -> U19(pdf_20) OX[6069] -> U52(108286) | MATCH continue_existing_assignment cnt:9
[124] Block2 Char="a" PDF[126] -> U19(pdf_20) OX[6070] -> U52(108286) | MATCH continue_existing_assignment cnt:10
[125] Block2 Char="s" PDF[127] -> U19(pdf_20) OX[6071] -> U52(108286) | MATCH continue_existing_assignment cnt:11
[126] Block2 Char="t" PDF[128] -> U20(pdf_21) OX[6072] -> U52(108286) | MATCH new_assignment cnt:1
[127] Block2 Char="u" PDF[129] -> U20(pdf_21) OX[6073] -> U52(108286) | MATCH continue_existing_assignment cnt:2
[128] Block2 Char="j" PDF[130] -> U20(pdf_21) OX[6074] -> U52(108286) | MATCH continue_existing_assignment cnt:3
[129] Block2 Char="u" PDF[131] -> U20(pdf_21) OX[6075] -> U52(108286) | MATCH continue_existing_assignment cnt:4
[130] Block2 Char="a" PDF[132] -> U20(pdf_21) OX[6076] -> U52(108286) | MATCH continue_existing_assignment cnt:5
[131] Block2 Char="n" PDF[133] -> U20(pdf_21) OX[6077] -> U52(108286) | MATCH continue_existing_assignment cnt:6
[132] Block2 Char="a" PDF[134] -> U21(pdf_22) OX[6078] -> U52(108286) | MATCH new_assignment cnt:1
[133] Block2 Char="t" PDF[135] -> U21(pdf_22) OX[6079] -> U52(108286) | MATCH continue_existing_assignment cnt:2
[134] Block2 Char="a" PDF[136] -> U21(pdf_22) OX[6080] -> U52(108286) | MATCH continue_existing_assignment cnt:3
[135] Block2 Char="u" PDF[137] -> U21(pdf_22) OX[6081] -> U52(108286) | MATCH continue_existing_assignment cnt:4
[136] Block2 Char="r" PDF[138] -> U22(pdf_23) OX[6082] -> U52(108286) | MATCH new_assignment cnt:1
[137] Block2 Char="u" PDF[139] -> U22(pdf_23) OX[6083] -> U52(108286) | MATCH continue_existing_assignment cnt:2
[138] Block2 Char="a" PDF[140] -> U22(pdf_23) OX[6084] -> U52(108286) | MATCH continue_existing_assignment cnt:3
[139] Block2 Char="n" PDF[141] -> U22(pdf_23) OX[6085] -> U52(108286) | MATCH continue_existing_assignment cnt:4
[140] Block2 Char="g" PDF[142] -> U22(pdf_23) OX[6086] -> U52(108286) | MATCH continue_existing_assignment cnt:5
[141] Block2 Char="l" PDF[143] -> U23(pdf_24) OX[6087] -> U52(108286) | MATCH new_assignment cnt:1
[142] Block2 Char="i" PDF[144] -> U23(pdf_24) OX[6088] -> U52(108286) | MATCH continue_existing_assignment cnt:2
[143] Block2 Char="n" PDF[145] -> U23(pdf_24) OX[6089] -> U52(108286) | MATCH continue_existing_assignment cnt:3
[144] Block2 Char="g" PDF[146] -> U23(pdf_24) OX[6090] -> U52(108286) | MATCH continue_existing_assignment cnt:4
[145] Block2 Char="k" PDF[147] -> U23(pdf_24) OX[6091] -> U52(108286) | MATCH continue_existing_assignment cnt:5
[146] Block2 Char="u" PDF[148] -> U23(pdf_24) OX[6092] -> U52(108286) | MATCH continue_existing_assignment cnt:6
[147] Block2 Char="p" PDF[149] -> U23(pdf_24) OX[6093] -> U52(108286) | MATCH continue_existing_assignment cnt:7
[148] Block2 Char="t" PDF[150] -> U24(pdf_25) OX[6094] -> U52(108286) | MATCH new_assignment cnt:1
[149] Block2 Char="u" PDF[151] -> U24(pdf_25) OX[6095] -> U52(108286) | MATCH continue_existing_assignment cnt:2
[150] Block2 Char="g" PDF[152] -> U24(pdf_25) OX[6096] -> U52(108286) | MATCH continue_existing_assignment cnt:3
[151] Block2 Char="a" PDF[153] -> U24(pdf_25) OX[6097] -> U52(108286) | MATCH continue_existing_assignment cnt:4
[152] Block2 Char="s" PDF[154] -> U24(pdf_25) OX[6098] -> U52(108286) | MATCH continue_existing_assignment cnt:5
[153] Block3 Char="." PDF[157] -> U25(pdf_26) OX[6100] -> U53(108287) | MATCH new_assignment cnt:1
[154] Block3 Char="d" PDF[158] -> U26(pdf_27) OX[6101] -> U53(108287) | MATCH new_assignment cnt:1
[155] Block3 Char="a" PDF[159] -> U26(pdf_27) OX[6102] -> U53(108287) | MATCH continue_existing_assignment cnt:2
[156] Block3 Char="t" PDF[160] -> U26(pdf_27) OX[6103] -> U53(108287) | MATCH continue_existing_assignment cnt:3
[157] Block3 Char="a" PDF[161] -> U26(pdf_27) OX[6104] -> U53(108287) | MATCH continue_existing_assignment cnt:4
[158] Block3 Char="i" PDF[162] -> U26(pdf_27) OX[6105] -> U53(108287) | MATCH continue_existing_assignment cnt:5
[159] Block3 Char="n" PDF[163] -> U26(pdf_27) OX[6106] -> U53(108287) | MATCH continue_existing_assignment cnt:6
[160] Block3 Char="p" PDF[164] -> U26(pdf_27) OX[6107] -> U53(108287) | MATCH continue_existing_assignment cnt:7
[161] Block3 Char="u" PDF[165] -> U26(pdf_27) OX[6108] -> U53(108287) | MATCH continue_existing_assignment cnt:8
[162] Block3 Char="t" PDF[166] -> U26(pdf_27) OX[6109] -> U53(108287) | MATCH continue_existing_assignment cnt:9
[163] Block3 Char="," PDF[167] -> U26(pdf_27) OX[6110] -> U53(108287) | MATCH continue_existing_assignment cnt:10
[164] Block3 Char="y" PDF[168] -> U26(pdf_27) OX[6111] -> U53(108287) | MATCH continue_existing_assignment cnt:11
[165] Block3 Char="a" PDF[169] -> U26(pdf_27) OX[6112] -> U53(108287) | MATCH continue_existing_assignment cnt:12
[166] Block3 Char="i" PDF[170] -> U26(pdf_27) OX[6113] -> U53(108287) | MATCH continue_existing_assignment cnt:13
